time (source2)	Light
0	16
1.019	16
2.007	16
2.994	16
4.029	16
5.055	16
6.035	16
7.05	16
8.078	16
9.097	16
10.092	16
11.111	16
12.088	16
13.118	16
15.162	16
16.132	16
17.14	16
18.162	16
19.165	16
20.167	16
21.228	16
22.231	16
23.213	16
24.259	16
25.238	16
26.25	16
28.229	17
29.267	17
30.322	17
31.283	17
33.311	17
34.317	17
35.324	17
36.364	17
37.344	17
38.354	17
39.371	17
40.403	17
41.436	17
42.418	17
43.449	17
44.424	17
45.467	17
46.454	17
47.447	17
48.46	17
49.489	17
50.487	17
51.493	17
53.531	17
54.527	17
55.57	17
56.564	17
57.564	17
58.6	17
59.581	17
60.614	17
63.666	17
64.641	18
65.683	17
66.663	17
67.642	17
68.634	18
69.679	18
70.699	18
71.717	18
72.755	18
73.719	18
74.76	18
75.771	18
76.776	18
77.8	18
78.773	18
79.805	18
80.813	18
81.823	18
83.846	18
84.844	18
85.884	18
86.877	18
87.868	18
88.912	18
89.921	18
90.923	18
91.944	18
92.923	18
93.95	18
94.963	18
95.999	19
96.964	19
97.971	18
99.017	19
100.005	19
102.009	19
103.077	19
104.078	19
105.041	19
106.095	19
107.076	19
108.109	19
109.034	19
110.039	19
111.148	19
112.125	19
113.176	19
114.18	19
115.187	19
117.174	19
118.203	11
119.218	19
120.194	19
122.23	19
123.274	19
124.28	19
125.272	19
126.278	20
127.288	20
128.278	20
129.315	20
130.317	20
132.347	20
133.339	20
134.408	20
135.459	20
138.474	20
139.562	20
140.439	20
141.526	20
142.56	20
143.578	20
144.639	20
145.614	20
146.648	20
147.667	20
148.583	20
150.583	20
152.652	21
154.675	21
155.714	21
156.585	21
157.721	21
158.595	21
159.756	21
160.718	21
161.752	21
162.642	21
163.642	21
164.791	21
165.792	21
166.815	21
167.833	21
168.874	21
170.845	21
171.842	21
172.782	21
173.863	21
174.934	21
175.85	21
176.951	21
177.976	22
178.896	22
179.945	22
181.011	22
181.958	22
182.953	22
184.031	22
184.97	22
186.025	22
187.048	22
188.06	22
188.945	22
191.014	22
193.056	22
193.96	22
195.112	22
196.139	22
197.14	22
198.085	22
199.104	22
200.13	22
201.134	22
202.201	23
203.243	22
204.172	23
207.294	23
208.244	23
209.164	23
210.125	23
211.278	23
212.235	23
213.175	23
214.261	23
215.287	23
216.316	23
217.39	23
218.377	23
219.216	23
221.334	23
222.382	23
223.27	23
224.295	24
225.334	24
226.33	24
227.464	24
228.458	24
229.451	24
230.471	24
232.373	24
233.545	24
234.451	24
236.565	24
237.505	24
238.584	24
239.588	24
240.617	24
241.64	24
242.546	24
243.574	24
244.63	24
246.66	25
247.514	25
248.641	25
249.671	25
250.683	25
251.683	25
252.679	25
253.706	25
254.774	25
255.722	25
256.795	25
257.68	25
259.756	25
261.859	25
262.769	25
263.838	25
264.863	25
265.751	25
266.882	25
267.909	25
268.881	26
269.84	26
270.902	26
271.84	26
272.807	26
273.907	26
274.987	26
275.924	26
277.001	26
277.97	26
278.978	26
279.994	26
281.024	26
282.06	26
282.965	26
285.056	26
286.067	26
287.076	26
287.951	26
290.138	26
291.104	26
292.107	27
293.134	27
294.172	27
295.098	27
296.09	27
297.181	27
298.069	27
300.09	27
301.251	27
303.172	27
304.131	27
306.144	27
307.132	27
308.155	27
309.193	27
310.212	27
311.192	27
312.185	27
313.124	28
314.147	28
315.247	28
316.223	28
317.241	28
318.252	28
319.268	28
320.265	28
321.294	28
323.34	28
324.354	28
325.345	28
327.345	28
328.377	28
329.408	28
331.377	28
332.396	28
333.41	28
334.41	28
335.462	28
336.434	29
337.459	29
338.482	29
339.483	29
340.519	29
341.495	29
344.55	29
347.549	29
349.598	29
350.609	29
351.639	29
353.619	29
354.587	29
355.594	29
356.669	29
357.687	29
358.658	29
359.685	29
360.722	29
361.731	29
362.715	30
363.751	30
364.768	30
365.76	30
366.765	30
368.781	30
369.793	30
370.814	30
371.82	30
372.855	30
373.817	30
374.843	30
375.872	30
376.885	30
377.88	30
378.898	30
379.887	30
380.891	30
381.935	30
383.918	30
384.941	30
385.947	30
386.956	30
387.987	30
388.979	30
389.998	30
391.037	30
392.047	31
393.044	31
394.041	31
395.039	31
396.038	31
397.123	31
398.126	31
399.18	31
400.178	31
401.168	31
402.2	31
403.196	31
404.202	31
405.212	31
406.204	31
407.227	31
408.26	31
409.262	31
410.284	31
411.301	31
412.305	31
414.298	31
415.295	31
416.31	31
417.362	31
418.376	31
419.398	31
420.412	31
421.404	31
422.415	31
423.389	31
424.415	31
425.462	31
426.44	31
427.434	31
428.586	31
430.608	31
431.611	31
432.636	31
433.628	31
434.639	31
435.7	31
436.629	31
437.568	31
438.599	31
439.668	31
440.578	31
441.722	31
443.657	31
444.745	31
445.757	31
447.692	31
448.746	31
449.739	31
450.679	31
451.833	31
452.767	31
453.834	31
454.732	31
456.909	31
457.817	31
458.915	31
459.894	31
460.967	31
462.017	31
462.882	31
463.98	31
464.899	31
465.971	31
467.034	31
467.885	31
469.026	31
469.951	31
470.925	31
472.075	31
472.995	31
473.913	31
475.055	31
475.979	31
478.098	32
479.054	32
480.151	32
481.092	32
482.121	32
483.019	32
484.043	32
485.214	32
486.117	32
487.16	32
488.303	32
489.234	32
490.215	32
491.095	32
493.29	32
494.138	32
495.299	32
496.315	32
497.285	32
498.239	32
499.186	32
500.271	32
501.298	32
502.328	32
503.372	32
504.339	32
